,Title,Artist,ConstituentID,Date,Medium,CreditLine,AccessionNumber,DateAcquired,ObjectID,ApproxDate,YearAcquired
964,Prisma Tumblers,Kaj Franck,1968,1967,Pressed glass,Given anonymously,2254.2001.1-3,2001-09-24,1091,1967.0,2001
1000,Tea Strainer,Bertel Gardberg,7381,1955,Silver and teak,Given anonymously,2256.2001.a-b,2001-09-24,1184,1955.0,2001
1001,Triennale Flatware,Bertel Gardberg,7381,1957,Wood and stainless steel,Given anonymously,2257.2001.1-2,2001-09-24,1185,1957.0,2001
1103,Kilta Storage Container,Kaj Franck,1968,1948,Glazed earthenware,Gift of Nina and Gordon Bunshaft,20.1997.1-2,1997-01-15,1572,1948.0,1997
1108,Kilta Storage Container,Kaj Franck,1968,1948,Glazed earthenware,Gift of Nina and Gordon Bunshaft,21.1997.a-b,1997-01-15,1583,1948.0,1997
1112,Pitcher 1621-100cl,Kaj Franck,1968,c. 1953,Blown glass,Gift of Peter S. Reed,22.1997,1997-01-15,1594,1953.0,1997
1144,Block Lamp,Harri Koskinen,8417,1996,"Hand-cast glass, cord, and electrical switch",Gift of the manufacturer,30.2000,2000-01-19,1673,1996.0,2000
1250,Dish,Alvar Aalto,34,Late 1930s,Glass,Gift of Mrs. Susanne Wasson-Tucker,54.1946,1946-05-07,1866,1930.0,1946
1255,Child's Chair (model 103),"Alvar Aalto, Aino Aalto","34, 35",Designed 1929 (this example ca. 1936),Laminated birch and lacquered molded plywood,"Gift of Artek-Pascoe, Inc.",55.1946,1946-05-07,1872,1929.0,1946
1263,Stacking Stools (model 60),Alvar Aalto,34,1932-33,Birch,"Gift of Artek-Pascoe, Inc.",56.1946.1,1946-05-07,1881,1932.0,1946
1264,Stacking Stools (model 60),Alvar Aalto,34,1932–1933,Laminated birch and lacquered plywood,"Gift of Artek-Pascoe, Inc.",56.1946.1-3,1946-05-07,1882,1932.0,1946
1265,Stacking Stools (model 60),Alvar Aalto,34,1932-33,Birch,"Gift of Artek-Pascoe, Inc.",56.1946.2,1946-05-07,1883,1932.0,1946
1335,Casserole,Timo Sarpaneva,5168,1959,Cast iron and teak,Gift of the designer,71.1990.a-c,1990-01-17,1980,1959.0,1990
1389,Fish,Dora Jung,2953,c. 1969,Satin damask,Given anonymously,483.1975,1975-03-31,2047,1969.0,1975
1469,Bowl,Göran Hongell,2720,1930s,Crystal,Gift of Finland Ceramics & Glass Corp.,109.1948,1948-03-17,2150,1930.0,1948
1505,Woodnotes Textile,Ritva Puotila,7510,1987-91,Paper twine,Gift of the manufacturer,117.1996.1-6,1996-04-09,2191,1987.0,1996
1511,Pitcher,Kaj Franck,1968,1954,Turn mold-blown glass,Best Products Co. Fund,119.1992,1992-01-15,2200,1954.0,1992
1515,Tumblers,Kaj Franck,1968,1954,Turn mold-blown glass,Best Products Co. Fund,120.1992.1-6,1992-01-15,2205,1954.0,1992
1544,Vase,Kaj Franck,1968,1955,Crystal,Gift of the Finnish Ministry of Commerce and Industry,128.1957,1957-05-15,2243,1955.0,1957
1556,Jäkälä Vase,Tapio Wirkkala,6409,1950,Crystal,Gift of the Finnish Ministry of Commerce and Industry,131.1957,1957-05-15,2256,1950.0,1957
1652,Sauna Stool,Antti Nurmesniemi,6613,1952,Laminated birch and teak,"Gift of the Palace Hotel, Helsinki",170.1991,1991-06-04,2369,1952.0,1991
1742,Stools (model Y61),Alvar Aalto,34,1946-47,Wood and cotton webbing,Gift of John C. Waddell,194.1998.1-3,1998-01-01,2478,1946.0,1998
1751,Gyro Chair,Eero Aarnio,36,1968,Fiberglass,Joy E. Feinberg Fund and Friends of the Department Fund,196.1987,1987-05-27,2490,1968.0,1987
1799,Kilta Tableware,Kaj Franck,1968,1948,Glazed earthenware,"Gift of Waertsila Corporation, New York",144.1955.1-10,1955-04-06,2540,1948.0,1955
1800,Kilta Tableware,Kaj Franck,1968,1948,Glazed earthenware,"Gift of Waertsila Corporation, New York",144.1955.10,1955-04-06,2541,1948.0,1955
1801,Kilta Tableware,Kaj Franck,1968,1948,Glazed earthenware,"Gift of Waertsila Corporation, New York",144.1955.4,1955-04-06,2542,1948.0,1955
