,Title,Artist,ConstituentID,Date,Medium,CreditLine,AccessionNumber,DateAcquired,ObjectID,ApproxDate,YearAcquired,ArtistOrder
2138,Kilta Egg Cups,Kaj Franck,1968,c. 1953,Ceramics,Purchase,236.1994.1-2,1994-05-03,2936,1953.0,1994,8
2151,Carafe,Olli Aninbaum,5796,1978,Glass,"Gift of Wartsila, Inc.",238.1981,1981-04-30,2952,1978.0,1981,4
2179,Platter,Tapio Wirkkala,6409,1951,Wood,Gift of Greta Daniel,242.1953,1953-04-07,2986,1951.0,1953,35
2182,Salt and Pepper Shakers,Kaj Franck,1968,1947,Ceramics,"Skidmore, Owings & Merrill Design Collection Purchase Fund",242.1986.1-2,1986-10-07,2990,1947.0,1986,8
2188,Bowl,Tapio Wirkkala,6409,1957,Wood,Phyllis B. Lambert Fund,243.1958,1958-12-04,2996,1957.0,1958,35
2201,Bowl,Tapio Wirkkala,6409,1957,Wood,Phyllis B. Lambert Fund,244.1958,1958-12-04,3011,1957.0,1958,35
2241,Vase,Tapio Wirkkala,6409,1956,Ceramics,Gift of Greta Daniel,250.1958,1958-12-04,3058,1956.0,1958,35
2246,Bowl,Tapio Wirkkala,6409,1950,Glass,Phyllis B. Lambert Fund,251.1958,1958-12-04,3065,1950.0,1958,35
2250,Platter,Timo Sarpaneva,5168,1956,Glass,Phyllis B. Lambert Fund,252.1958,1958-12-04,3069,1956.0,1958,29
2269,Incandescent Bulb (model 85),Tapio Wirkkala,6409,1959,Glass,Gift of the manufacturer,257.1962,1962-11-07,3095,1959.0,1962,35
2272,Container,Saara Hopea,2724,1954,Glass,Phyllis B. Lambert Fund,258.1958.a-b,1958-12-04,3098,1954.0,1958,14
2273,Incandescent Bulb (model WIR105),Tapio Wirkkala,6409,1959,Glass,Gift of the manufacturer,258.1962,1962-11-07,3100,1959.0,1962,35
2287,Platter,Nanny Still,5666,c. 1949-62,Glass,Philip Johnson Fund,261.1962,1962-11-07,3116,1949.0,1962,31
2290,Tumblers,Kaj Franck,1968,c. 1953,Glass,Gift of Waertsila Corporation,262.1954.1-10,1954-06-16,3120,1953.0,1954,8
2291,Table Lamp,Yki Nummi,4346,1955,Plastic,Phyllis B. Lambert Fund,262.1958.a-b,1958-12-04,3121,1955.0,1958,22
2292,Platter,Nanny Still,5666,c. 1950-62,Wood,Phyllis B. Lambert Fund,262.1962,1962-11-07,3122,1950.0,1962,31
2333,Vase,Kaj Franck,1968,1957,Glass,Phyllis B. Lambert Fund,275.1958,1958-12-04,3166,1957.0,1958,8
2335,Stacking Armchair,Alvar Aalto,34,1929,Wood,Gift of Michael Whiteway,275.1984,1984-10-30,3168,1929.0,1984,2
2336,Carafe,Timo Sarpaneva,5168,1956,Glass,Phyllis B. Lambert Fund,276.1958,1958-12-04,3169,1956.0,1958,29
2338,Cantilevered Stacking Side Chair,Alvar Aalto,34,1930,Wood,Lord & Taylor Fund,276.1984,1984-10-30,3171,1930.0,1984,2
2340,Side Chair,Alvar Aalto,34,c. 1932,Wood,Gift of Manfred Ludewig,277.1984,1984-10-30,3173,1932.0,1984,2
2341,Cantilevered Armchair (model 406),Alvar Aalto,34,c. 1970,Wood,"Gift of ICF, Inc.",278.1984,1984-10-30,3175,1970.0,1984,2
2354,Tumblers and Schnapps Glass,Saara Hopea,2724,1951,Glass,Gift of Barbro Kulvik and Antti Siltavuori,286.1984.1-3,1984-10-30,3190,1951.0,1984,14
2407,Scissors,Olof Backstrom,271,"Designed 1960-1967, this example 1976",Metal,Greta Daniel Fund,306.1977,1977-06-01,3250,1967.0,1977,7
2474,Vase (model 3580),Tapio Wirkkala,6409,1955,Glass,Gift of the Chase Manhattan Bank,339.1960,1960-11-16,3332,1955.0,1960,35
2489,Puukko Knife and Sheath,Tapio Wirkkala,6409,1961,Metal,Greta Daniel Design Fund,345.1966.a-b,1966-05-10,3349,1961.0,1966,35
2581,Platter,Kari Virtanen,7242,1987,Wood,Gift of the designer,366.1993,1993-11-04,3451,1987.0,1993,34
